step,dynamic_goal_no_human,dynamic_goal_human_nearby,final_goal_no_human
1,0.0329534638,0.0367037226,0.0577333906
2,0.0415496547,0.0633469425,0.1065503515
3,0.0452719972,0.0888932093,0.1618636313
4,0.0688075891,0.0991568596,0.2290630459
5,0.0698085574,0.1280756417,0.2898650696
6,0.079616058,0.1143328329,0.3472513085
7,0.0862453937,0.1298845087,0.406093343
8,0.0958021407,0.1242848876,0.4640319047
9,0.0941001235,0.1313591472,0.5203010912
10,0.0914064293,0.1510693901,0.5772684864
11,0.0990726681,0.1631942736,0.634664568
12,0.096832055,0.17830292,0.6886689106
13,0.1072698896,0.1741108276,0.7417860058
14,0.1231245137,0.1860607015,0.7949416934
15,0.1440462769,0.1864621567,0.8476561668
16,0.1507808477,0.1903394136,0.8978542463
17,0.1502196168,0.1974000476,0.9474018021
18,0.1591241901,0.2003766668,0.9943892897
19,0.1631338571,0.2068698861,1.0315475517
20,0.1584687137,0.2247405621,1.0528197239
21,0.1603779302,0.2470136412,1.0625749193
22,0.1659012326,0.2685786816,1.0663167879
23,0.1622435896,0.2836273212,1.0672422441
24,0.159506886,0.3002379034,1.0697251235
25,0.1639481772,0.3062297087,1.0756015709
26,0.1625879109,0.3097459703,1.0838714497
27,0.1607879747,0.3100773557,1.0936798477
28,0.1563125366,0.3152037871,1.1040558656
29,0.1538461099,0.3278356084,1.1137083654
30,0.1319417567,0.3353049766,1.1226903819
31,0.1149916414,0.3507914492,1.132344468
32,0.1104015178,0.3713448353,1.1418834279
33,0.0997208161,0.3929209388,1.1504879428
34,0.0989468556,0.4211214306,1.1590289959
35,0.0908181336,0.4480404083,1.1677527654
36,0.0873202242,0.4776393669,1.1788125827
37,0.0829577559,0.5056318146,1.192147656
38,0.0819524402,0.5225275257,1.2072679136
39,0.0791448979,0.5418985614,1.2208269124
40,0.0785214487,0.5607647368,1.231906299
41,0.0746771641,0.5672115689,1.2397693307
42,0.0790609755,0.5740747505,1.2448092315
43,0.0746034974,0.5829475049,1.2473850334
44,0.0774392374,0.5991739421,1.2452334685
45,0.0817273324,0.6190129577,1.239319597
46,0.0793118802,0.6315086953,1.2345514789
47,0.0738617778,0.6476501771,1.2276440757
48,0.0736168252,0.6545448994,1.2185425723
49,0.0775564402,0.6621217213,1.207214426
50,0.0764466151,0.6462206908,1.193962155
51,0.0747561107,0.6358482854,1.1797984058
52,0.0746881971,0.612592449,1.1658254707
53,0.0692421064,0.5996518005,1.152617343
54,0.068965706,0.5773854789,1.1403968758
55,0.066520242,0.5649344653,1.1275489612
56,0.0689197794,0.5473557025,1.1153018964
57,0.0698300767,0.5390023791,1.1033733075
58,0.0742426772,0.5265537996,1.0919956326
59,0.0764308313,0.5143548275,1.0813359645
60,0.0834564349,0.5086627018,1.0648822519
61,0.0887167992,0.5097369122,1.0485899142
62,0.089655985,0.5092068552,1.0338847164
63,0.1024712827,0.5111057757,1.0207290373
64,0.1186904725,0.5126479766,1.00908866
65,0.1210543584,0.5172551479,0.9982859526
66,0.12584256,0.5245416516,0.9886049723
67,0.1395541465,0.5354209977,0.9803106479
68,0.1474277138,0.5466648678,0.9739689969
69,0.1536656792,0.5568991663,0.9693740935
70,0.165417268,0.5647943206,0.9663093771
71,0.1747743635,0.5760912962,0.9645904206
72,0.1664405203,0.5621778864,0.9638781891
73,0.1560528311,0.5661997281,0.9641459161
74,0.1440167018,0.5624773124,0.9613998163
75,0.134509824,0.5658971879,0.9448906254
76,0.124943356,0.5616152256,0.9249694088
77,0.1053235717,0.5440117158,0.9040902949
78,0.0847898508,0.5276308448,0.8834688615
79,0.0674989554,0.5101315075,0.8634659364
80,0.0540247766,0.4855419946,0.8423185123
81,0.0506087804,0.4591672976,0.822389801
82,0.0480033822,0.4390055412,0.804201219
83,0.042210557,0.420272294,0.7886890078
84,0.0410363552,0.3948539121,0.7748990038
85,0.0410738979,0.3667185226,0.7632918934
86,0.0305358787,0.3370979478,0.7525666484
87,0.03523573,0.2985713759,0.7416951781
88,0.0311826589,0.2635303293,0.7307485675
89,0.0369392831,0.228378298,0.7203515361
90,0.0412564856,0.1932644458,0.7108140964
91,0.0373383728,0.1575098661,0.7015108255
92,0.0367098107,0.1245284693,0.6919216274
93,0.040730272,0.0975280408,0.6822531832
94,0.045460598,0.0813803333,0.6719349467
95,0.0546104885,0.0734541577,0.6616244026
96,0.0671551083,0.0717190738,0.6518893336
97,0.0793397563,0.0718905328,0.6427511161
98,0.0844813292,0.0699636475,0.6350054857
99,0.0967209551,0.0662650043,0.6278460515
100,0.0993591776,0.0646041371,0.6207538763
101,0.1048502032,0.06392735,0.6146275672
102,0.1058918539,0.0705066372,0.6097528315
103,0.1118261691,0.0720549938,0.5981715538
104,0.1116583919,0.0773633731,0.5747347128
105,0.1183008052,0.0770342921,0.5498356106
106,0.1159668103,0.0825140056,0.5248670248
107,0.1210568245,0.0804581672,0.4997158238
108,0.1196296401,0.087323816,0.4746051728
109,0.1224502485,0.0845696338,0.4481227654
110,0.1259889185,0.0899205155,0.4229033054
111,0.1250124444,0.0936523227,0.3963288167
112,0.1244767639,0.0971167568,0.3708955433
113,0.1271067187,0.1019354188,0.3460781083
114,0.1255716443,0.1088609727,0.3203008103
115,0.1142651484,0.1092083932,0.2924444143
116,0.1181451772,0.1138338415,0.2644481023
117,0.1293251834,0.0955652691,0.2377453072
118,0.1389859956,0.093388978,0.2118214406
119,0.1536492051,0.1058078151,0.2118214406
120,0.1560244012,0.1371757659,0.2118214406
121,0.1469212349,0.156216135,0.2118214406
122,0.142634368,0.1757672742,0.2118214406
123,0.1427179761,0.1733309,0.2118214406
124,0.1368623728,0.172515241,0.2118214406
125,0.1382334538,0.1677760934,0.2118214406
126,0.1385029372,0.1614904469,0.2118214406
127,0.1428211461,0.1602180183,0.2118214406
128,0.1487589357,0.1579744554,0.2118214406
129,0.1550360413,0.1609552052,0.2118214406
130,0.1611808375,0.1655980381,0.2118214406
131,0.1611808375,0.1691090639,0.2118214406
