epoch,stats_Q_loss/mean,stats_Qc_loss/mean,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/episode_rew,test/mean_Q,test/success_rate,train/episode,train/episode_rew,train/success_rate
0,6.193054,0.041086353,-0.5414027,1.4990196,0.27383602,0.6856189,5,-1.5027057,-3.6475635,-0.0015037594,20,-1.6229722,-0.0953634085
1,1.2676244,0.014239657,-0.5078141,1.4751657,0.2840859,0.6766298,10,-2.980811,-4.8408337,-0.0401002506,40,-1.6199194,-0.0105263158
2,1.1810946,0.011388316,-0.43109784,1.4103394,0.272519,0.67136145,15,-1.5115752,-7.401387,-0.1308270677,60,-1.6345203,-0.0087719298
3,1.4105686,0.012375002,-0.40917042,1.4478365,0.27738616,0.662354,20,-1.5031441,-7.7332053,-0.0055137845,80,-1.687549,-0.0580200501
4,1.5284787,0.012837106,-0.45159504,1.4245297,0.24788268,0.65342206,25,-4.4886584,-9.002245,-0.0436090226,100,-1.6196668,-0.0080200501
5,1.2652886,0.010868209,-0.4496695,1.4077953,0.24082336,0.65050244,30,-1.5029141,-8.649439,-0.0205513784,120,-2.0115035,-0.0045112782
6,1.1602774,0.009610594,-0.43760142,1.3820993,0.22898957,0.6452113,35,-1.5570261,-10.875132,-0.0812030075,140,-1.7906967,-0.0042606516
7,1.206764,0.008737807,-0.4481984,1.3627186,0.21427801,0.6458891,40,-1.5172601,-11.737692,-0.0616541353,160,-1.612715,-0.006641604
8,1.1211511,0.00888275,-0.4537121,1.3378431,0.2133779,0.6412109,45,-2.0751593,-16.643305,-0.0350877193,180,-1.6136371,-0.0385964912
9,1.3132232,0.009772876,-0.46276024,1.3241732,0.2051243,0.6389052,50,-1.6984136,-15.773465,-0.0030075188,200,-1.6453549,-0.0078947368
10,1.2591197,0.009191704,-0.47090808,1.3153836,0.19738589,0.6338694,55,-1.5186145,-18.337265,-0.086716792,220,-1.625436,-0.0026315789
11,1.4071128,0.008604008,-0.47572806,1.318136,0.19631666,0.63489926,60,-1.533859,-19.55109,-0.0746867168,240,-1.6228474,-0.0127819549
12,1.3337711,0.008626611,-0.48012102,1.3050953,0.20117174,0.6310253,65,-2.1007133,-19.353245,-0.0085213033,260,-1.6213642,-0.0303258145
13,1.5406729,0.009147854,-0.48760918,1.2994194,0.19991793,0.63109446,70,-1.5055046,-22.029852,-0.007518797,280,-1.6098186,-0.0409774436
14,1.5943762,0.009614157,-0.48830068,1.2939658,0.2057761,0.6314705,75,-1.5833957,-20.5012,-0.0050125313,300,-1.6188418,-0.0347117794
15,1.5726596,0.008795414,-0.4862609,1.2964107,0.2099544,0.63351965,80,-1.5144713,-19.883953,0,320,-1.6172377,-0.0328320802
16,1.6147704,0.008760309,-0.48791373,1.2883418,0.20780121,0.63093525,85,-1.7691822,-23.158848,-0.0040100251,340,-1.9358115,-0.0062656642
17,1.6375455,0.008856529,-0.48680615,1.2822307,0.20296516,0.631425,90,-1.5029881,-23.99094,0,360,-1.6452587,-0.0174185464
18,1.8490468,0.008734625,-0.4850869,1.2830682,0.20015831,0.63136697,95,-1.5313152,-25.76502,-0.0005012531,380,-1.6462504,0.0036340852
19,1.7481799,0.007903508,-0.48640788,1.2803559,0.19729203,0.63088506,100,-1.5123343,-24.301867,0.0255639098,400,-1.6297866,-0.0047619048
20,1.7248008,0.00786027,-0.49365315,1.2772522,0.20300357,0.633278,105,-1.5226262,-23.613413,0,420,-1.6391212,-0.0102756892
21,1.6641916,0.0073837517,-0.4992806,1.272111,0.202686,0.6331028,110,-1.6459903,-24.896465,-0.0005012531,440,-1.6273761,0.0129072682
22,1.7112765,0.007845626,-0.5045262,1.2692006,0.20225205,0.6332171,115,-2.0078025,-23.697315,-0.0035087719,460,-1.6531897,-0.0256892231
23,1.7361838,0.007448333,-0.5077142,1.2637817,0.2028443,0.633602,120,-1.5159441,-22.145567,0,480,-1.6269525,0
24,1.7354782,0.0075233625,-0.511507,1.2571265,0.19867086,0.63265777,125,-1.51232,-26.317093,-0.0105263158,500,-1.6380502,0.0042606516
25,1.8684628,0.006914295,-0.5151256,1.2518324,0.20092815,0.6321813,130,-1.5768164,-26.857922,-0.0561403509,520,-1.6896453,0.0110275689
26,1.6530204,0.0070364154,-0.51175165,1.2459631,0.19632219,0.6309496,135,-1.5093039,-24.880531,-0.0010025063,540,-1.640778,-0.0015037594
27,1.7114514,0.0068247933,-0.510299,1.2393287,0.19532509,0.63098174,140,-1.5203091,-26.9203,-0.0005012531,560,-1.7120765,0.007518797
28,1.7548374,0.007002258,-0.5128279,1.2343578,0.19586058,0.6327034,145,-1.5195879,-27.489887,-0.0185463659,580,-1.6305825,-0.0179197995
29,1.7299899,0.006975448,-0.5093167,1.2303405,0.19163643,0.63022083,150,-1.5907803,-27.455347,-0.0010025063,600,-1.6520333,-0.0137844612
30,2.0443144,0.0067336317,-0.513789,1.2244321,0.18892431,0.6293298,155,-1.5124788,-27.065277,-0.0005012531,620,-1.6448829,0.0016290727
31,1.7027631,0.006547462,-0.515549,1.2210714,0.19082631,0.62993544,160,-1.5063804,-27.321259,0.0065162907,640,-1.6234449,-0.0006265664
32,1.7408035,0.0064620487,-0.515426,1.2157854,0.19086003,0.62917656,165,-1.5233765,-29.18392,0,660,-1.8525662,0.0045112782
33,2.0585182,0.00660737,-0.51114255,1.2095459,0.19110714,0.6273234,170,-1.5169638,-29.884954,0.0105263158,680,-1.6633106,0.0037593985
34,1.9470563,0.0063035316,-0.5138623,1.2083808,0.19105044,0.6267387,175,-1.5131702,-34.220016,-0.0025062657,700,-1.7216015,0.0032581454
35,2.4153042,0.0060877274,-0.515889,1.2053248,0.19131282,0.62585694,180,-1.5100955,-26.913809,-0.0010025063,720,-1.6273451,-0.001754386
36,1.7337228,0.0061717946,-0.51529765,1.2002021,0.19138314,0.62479794,185,-1.5078267,-30.246607,-0.0015037594,740,-1.6391023,-0.0085213033
37,1.8167212,0.0060746428,-0.51436234,1.1973196,0.19085133,0.62442636,190,-1.5176066,-35.99233,0.0020050125,760,-1.6344795,0.0022556391
