epoch,stats_Q_loss/mean,stats_Qc_loss/mean,test/episode,test/episode_rew,test/mean_Q,,train/episode,success_rate_GRU+MLP_2,success_rate_MLP_2steps,success_rate_MLP_6steps_1,success_rate_GRU+MLP,success_rate_MLP_6steps
0,4.899072,0.035670195,5,-7.2437024,-3.604997,,20,-0.0412280702,-0.1770676692,-0.0038847118,-0.0412280702,-0.0038847118
1,1.1397549,0.012809143,10,-1.5039405,-3.7575946,,40,-0.034962406,-0.0254385965,-0.0545112782,-0.034962406,-0.0545112782
2,1.5572944,0.01117571,15,-1.5018575,-5.1808085,,60,0.0012531328,-0.0062656642,-0.0072681704,0.0012531328,-0.0072681704
3,1.8692157,0.013163137,20,-1.5095178,-6.172308,,80,-0.04160401,-0.0032581454,-0.0187969925,-0.04160401,-0.0187969925
4,2.0426302,0.012262358,25,-9.432063,-8.489265,,100,-0.0497493734,-0.0058897243,-0.0255639098,-0.0497493734,-0.0255639098
5,2.0503395,0.011960698,30,-1.8210249,-10.191157,,120,-0.001754386,-0.0061403509,-0.0027568922,-0.001754386,-0.0027568922
6,1.6925516,0.010934374,35,-1.7718674,-9.821936,,140,-0.021679198,-0.0016290727,-0.0015037594,-0.021679198,-0.0015037594
7,1.8704078,0.010775802,40,-1.5029498,-11.602317,,160,-0.0011278195,-0.0051378446,-0.001754386,-0.0011278195,-0.001754386
8,1.4089234,0.0098304525,45,-1.5047402,-13.419415,,180,-0.004887218,-0.0007518797,-0.0012531328,-0.004887218,-0.0012531328
9,1.630094,0.009609252,50,-3.515805,-13.580342,,200,-0.0068922306,-0.0175438596,-0.0305764411,-0.0068922306,-0.0305764411
10,1.3451442,0.008761596,55,-4.719391,-15.765813,,220,0.0013784461,-0.0062656642,-0.0116541353,0.0013784461,-0.0116541353
11,1.3486869,0.008653953,60,-1.5031492,-16.489006,,240,-0.0063909774,-0.0055137845,-0.0073934837,-0.0063909774,-0.0073934837
12,1.327172,0.007906596,65,-2.4852781,-18.21251,,260,-0.0025062657,-0.0120300752,-0.0090225564,-0.0025062657,-0.0090225564
13,1.224889,0.0075477306,70,-1.8023329,-19.558155,,280,-0.0023809524,-0.0028822055,-0.0073934837,-0.0023809524,-0.0073934837
14,1.2380235,0.007199538,75,-1.5231615,-21.141499,,300,-0.0003759398,-0.0280701754,-0.0179197995,-0.0003759398,-0.0179197995
15,1.6030629,0.007058673,80,-1.5086285,-22.979467,,320,-0.0038847118,-0.0102756892,-0.0073934837,-0.0038847118,-0.0073934837
16,2.1617494,0.0069481567,85,-1.5161068,-23.874134,,340,-0.0020050125,-0.0477443609,-0.0223057644,-0.0020050125,-0.0223057644
17,1.3448938,0.006824206,90,-1.5126455,-24.00127,,360,-0.0121553885,-0.0392230576,-0.0122807018,-0.0121553885,-0.0122807018
18,1.4042506,0.0067963097,95,-1.7095267,-27.093533,,380,-0.0002506266,-0.0140350877,0.0070175439,-0.0002506266,0.0070175439
19,1.5687594,0.0072798496,100,-1.5071585,-27.564169,,400,0.0240601504,-0.0393483709,-0.0040100251,0.0240601504,-0.0040100251
20,2.2650158,0.006726893,105,-5.027019,-30.438715,,420,-0.0016290727,-0.0121553885,-0.0021303258,-0.0016290727,-0.0021303258
21,2.1970048,0.0071362806,110,-1.508898,-28.86409,,440,-0.0015037594,-0.034085213,-0.0021303258,-0.0015037594,-0.0021303258
22,1.8879126,0.006670272,115,-5.518501,-31.651165,,460,0.0025062657,-0.0348370927,-0.0296992481,0.0025062657,-0.0296992481
23,1.7741688,0.0067037903,120,-1.5521369,-31.352652,,480,-0.0071428571,-0.0063909774,-0.0488721805,-0.0071428571,-0.0488721805
24,2.6460211,0.0067288876,125,-1.5055546,-32.95329,,500,-0.0078947368,-0.0130325815,-0.0051378446,-0.0078947368,-0.0051378446
25,1.7414699,0.006473801,130,-1.76141,-27.386944,,520,-0.007518797,-0.0012531328,-0.034085213,-0.007518797,-0.034085213
26,1.8466773,0.006132926,135,-1.7033292,-28.193508,,540,0.0018796992,-0.0043859649,-0.0317042607,0.0018796992,-0.0317042607
27,1.8257196,0.005905799,140,-1.6216134,-32.740437,,560,0.0072681704,-0.0147869674,-0.0299498747,0.0072681704,-0.0299498747
28,2.1294892,0.0062330663,145,-1.5028601,-31.266125,,580,0.0220551378,-0.0013784461,-0.0112781955,0.0220551378,-0.0112781955
29,2.0055707,0.0064049037,150,-1.5163789,-32.924507,,600,0.0114035088,0.0129072682,-0.0052631579,0.0114035088,-0.0052631579
30,2.5042648,0.0061317557,155,-1.5816753,-25.193874,,620,0.0507518797,-0.0028822055,-0.0209273183,0.0507518797,-0.0209273183
31,2.4055264,0.0061469115,160,-1.5303767,-30.940292,,640,0.0903508772,0.0013784461,-0.0409774436,0.0903508772,-0.0409774436
32,2.052907,0.006209133,165,-1.5736792,-26.56509,,660,0.059273183,0.0006265664,-0.0312030075,0.059273183,-0.0312030075
33,2.1561942,0.006264819,170,-1.5249735,-24.152523,,680,-0.0035087719,0.0021303258,0.0060150376,-0.0035087719,0.0060150376
