Our method,Previous RL based method,Previous RL based method +dymanic goal,123,step,ITOMP with STOMP optimizer
0.0119648047,0.017579275,0.0102746475,0.006341401,1,0.002508873
0.0191374209,0.0268584681,0.0156937508,0.006341401,2,0.002508873
0.0216531197,0.0398790996,0.0224715216,0.0074672147,3,0.0025175525
0.0251644974,0.0544888419,0.0289521591,0.0076923774,4,0.0041774937
0.0253234984,0.0698935989,0.0335951453,0.0131398873,5,0.004509482
0.0302737938,0.0857107788,0.0370599667,0.0165803874,6,0.0029808726
0.0342250936,0.1016834791,0.0406323454,0.0172744688,7,0.0030285004
0.0413204932,0.1177161071,0.0406450057,0.022627499,8,0.0030380259
0.0466163836,0.1337486857,0.0384657344,0.0231539144,9,0.0010800865
0.0454389657,0.1496241646,0.0404079357,0.0237456154,10,0.0021529718
0.0409292208,0.1653495165,0.0435533419,0.0238639556,11,0.0023675489
0.0324014853,0.1808018269,0.0446561294,0.0243061966,12,0.0013568527
0.0224528225,0.1961483647,0.042455197,0.037370141,13,0.002853624
0.0138184685,0.211348187,0.0376174268,0.0399829299,14,0.0031529783
0.0097937147,0.2263381897,0.0347030467,0.0402780099,15,0.0032751431
0.0057231569,0.2406535981,0.034773767,0.0399718103,16,0.0032995761
0.0029658754,0.2538755878,0.0364375445,0.0364735772,17,0.0028319669
0.0017647542,0.2669193103,0.0414902569,0.035885899,18,0.0035813316
0.0110053413,0.2799340966,0.0477749751,0.0357683634,19,0.0019168085
0.0156420141,0.2926233379,0.0511794332,0.0357813329,20,0.0015839039
0.0168747393,0.3043507773,0.0545383441,0.0357839267,21,0.001517323
0.0174583038,0.3153211204,0.0466790227,0.0357844455,22,0.0015040068
0.021922589,0.3257403637,0.032307359,0.0357845493,23,0.0015013436
0.0277647116,0.3357921162,0.0167971805,0.03578457,24,0.0015008109
0.0219701483,0.3456073239,0.0076718491,0.0357845742,25,0.0015007044
0.0216207099,0.3552814531,0.0186681292,0.035784575,26,0.0146597096
0.0213558561,0.3649720929,0.0347798799,0.0357845752,27,0.0146597095
