Our method,Previous RL based method,Previous RL based method +dymanic goal,ITOMP with STOMP optimizer,step
0.0138010377,0.017579275,0.0102746475,0.0015523456,1
0.0145929439,0.0268584681,0.0156937508,0.0026254087,2
0.0175255959,0.0398790996,0.0224715216,0.0027159257,3
0.0252385583,0.0544888419,0.0289521591,0.0016491612,4
0.0381654693,0.0698935989,0.0335951453,0.0029240829,5
0.054246823,0.0857107788,0.0370599667,0.0032405999,6
0.0676447482,0.1016834791,0.0406323454,0.0063828207,7
0.0780198057,0.1177161071,0.0406450057,0.00407546,8
0.0855541701,0.133749047,0.0384657344,0.0060002241,9
0.0893422798,0.1496255896,0.0407791561,0.0063851769,10
0.0919466034,0.1653448882,0.044955362,0.003908531,11
0.0928079139,0.1807203887,0.0487155568,0.0034132018,12
0.0922719163,0.1959869171,0.0498520763,0.0025403916,13
0.0904223143,0.2111233909,0.0474149093,0.0032958106,14
0.0889546205,0.2260663335,0.0443172923,0.0016649306,15
0.0895636209,0.2404895622,0.0435227636,0.0029147328,16
0.0903982061,0.2537261654,0.0457177765,0.0023693893,17
0.0888981569,0.2667666807,0.0513469764,0.0027378556,18
0.0865286432,0.2792934954,0.060743269,0.0025165136,19
0.0880125018,0.2908149105,0.0649769449,0.0037104079,20
0.0869919575,0.3016283441,0.0674735703,0.0023544355,21
0.0876221961,0.3120550215,0.0690483643,0.0021035905,22
0.088167782,0.3222326872,0.0694857637,0.0017529984,23
0.0880876456,0.3322003197,0.0692508868,0.001682585,24
0.0877502037,0.3419754297,0.0687405121,0.0032465083,25
0.0866433842,0.3515517671,0.0682374826,0.0032837558,26
0.086739007,0.3609523166,0.0671613413,0.0037158807,27
0.0835531609,0.370179553,0.0664797339,0.0038023057,28
0.0815992491,0.3792394664,0.0660560617,0.0029090558,29
0.0782565871,0.3881049001,0.0672062152,0.0027304058,30
0.0730103211,0.3967591243,0.0673148848,0.0039407933,31
0.0712050305,0.4051988274,0.0662806622,0.0037433743,32
0.0691795919,0.4134221008,0.0644156924,0.0024646786,33
0.0708266758,0.4214197748,0.063159404,0.0022836105,34
0.0698782824,0.4291964629,0.0622803508,0.0084519608,35
0.0678142361,0.4367623554,0.0618693159,0.0096856308,36
0.0647474046,0.4441249172,0.0613514917,0.0075849221,37
0.0647815336,0.4512931243,0.060960802,0.0027973671,38
0.0618661633,0.4583054653,0.060451602,0.0018398561,39
0.0618805946,0.4650353943,0.0601721446,0.0018422846,40
0.0589765222,0.4712765839,0.0601226143,0.0019241795,41
0.0592422375,0.4768530705,0.0603524055,0.0050802759,42
0.0584430198,0.4816749528,0.0608032397,0.0036848776,43
0.055754876,0.4857795745,0.0612287994,0.0069864417,44
0.0562834575,0.4892269593,0.0617417439,0.0019933155,45
0.053513806,0.4920759959,0.0622176744,0.0029387769,46
0.0543332097,0.4943920622,0.0627014585,0.0021340697,47
0.0519588065,0.4962636249,0.0629393027,0.0025624507,48
0.0531125728,0.4977788008,0.0627169646,0.0026481269,49
0.0506096447,0.4990212661,0.0623574581,0.0019852544,50
0.0516393287,0.5000685013,0.0622087623,0.0016048698,51
0.0490166306,0.5009794548,0.0619164601,0.0021719845,52
0.0495386975,0.5018264045,0.0618373544,0.0035060516,53
0.0466653996,0.5026962578,0.0618572316,0.0095622641,54
0.0467911981,0.5036775472,0.0618618728,0.0055970222,55
0.0441197328,0.5048599664,0.0620017421,0.0036960168,56
0.0447266206,0.5063304693,0.0619088273,0.0033158157,57
0.0441237698,0.5081374358,0.061693568,0.0018048097,58
0.0433378124,0.5103297698,0.0612353338,0.0014181447,59
0.0420604742,0.5117674255,0.0608429491,0.0021144708,60
0.041014663,0.5129589684,0.059958478,0.0025372383,61
0.0408985316,0.5144441351,0.0582400428,0.0073436464,62
0.0388935658,0.5163740326,0.0558056343,0.0094633302,63
0.0392748229,0.5187241706,0.0528501682,0.0039766561,64
0.0374691014,0.5214091807,0.0503932619,0.003078957,65
0.0356484034,0.5203031365,0.0488731344,0.0017977629,66
0.0344022224,0.5153248778,0.0490737262,0.0015234316,67
0.0312528725,0.5091226506,0.0512857045,0.0025457796,68
0.0283392104,0.5024821889,0.0557453526,0.0027561359,69
0.0259235176,0.4950799275,0.0610171174,0.0027881789,70
0.022479332,0.4869457532,0.065331003,0.0027946319,71
0.0232918545,0.4783224022,0.0668995814,0.0027829711,72
0.024513366,0.4693411821,0.0678773088,0.0027811189,73
0.0259252538,0.4602123892,0.0687618178,0.0028436172,74
0.0269107407,0.4511607188,0.0695281769,0.0028561168,75
