Our method,Previous RL based method,Previous RL based method +dymanic goal,123,step,ITOMP with STOMP optimizer
0.0272803916,0.0587587279,0.0598159918,0.0133262591,1,0.0051056918
0.0440165471,0.1046678242,0.1045733376,0.0133262591,2,0.0051056918
0.0621298745,0.1567684827,0.1551591416,0.019147546,3,0.0050732509
0.0819169949,0.211111263,0.2019660306,0.0203118034,4,0.0092744161
0.0847594791,0.2671881412,0.2452736344,0.0254995557,5,0.0101146491
0.097246791,0.3246116502,0.2866194361,0.0304296357,6,0.012024402
0.1052357427,0.3829723405,0.3267459584,0.031397792,7,0.0075621373
0.1136084486,0.4418307494,0.3617832176,0.0384318869,8,0.0066696843
0.1190120756,0.50110685,0.3944330389,0.0369201964,9,0.0029632497
0.1204242482,0.5607225962,0.4264612394,0.0385055036,10,0.0160118574
0.1133053679,0.6205732836,0.4581576173,0.038822565,11,0.0186215789
0.1049796278,0.6804870368,0.4899805507,0.039008287,12,0.0049826796
0.0970553492,0.7406638434,0.5256922319,0.0574011888,13,0.006006332
0.0955885351,0.797070769,0.5657778246,0.0610797692,14,0.0062110625
0.0947067513,0.8416809616,0.6016482412,0.0629305636,15,0.00900145
0.0925118503,0.8798683866,0.6333639348,0.0616962645,16,0.0095595275
0.0872834581,0.9169542812,0.6545993893,0.0606550666,17,0.0067798479
0.084518358,0.9554100324,0.6621430765,0.0596228864,18,0.0110821953
0.0866523542,0.9958919573,0.663424892,0.0594164503,19,0.0028467439
0.091724423,1.036928943,0.6577721486,0.059401655,20,0.0011996537
0.0830743605,1.075345203,0.6451329727,0.059398696,21,0.0008702356
0.0791005382,1.112022648,0.6411481676,0.0593981042,22,0.000804352
0.0780812703,1.148014138,0.6255231199,0.0593979858,23,0.0007911753
0.0779520185,1.184144487,0.6101607047,0.0593979621,24,0.0007885399
0.0701341348,1.221057014,0.5984145959,0.0593979574,25,0.0007880129
0.0759445335,1.259089443,0.5917369617,0.0593979564,26,0.038323607
