Our method,Previous RL based method,Previous RL based method +dymanic goal,ITOMP with STOMP optimizer,step
0.0348102102,0.0587587279,0.0598159918,0.0134049787,1
0.0339398746,0.1046678242,0.1045733376,0.0074439098,2
0.0383186315,0.1567684827,0.1551591416,0.0060969933,3
0.0527750299,0.211111263,0.2019660306,0.0027684651,4
0.0713162033,0.2671881412,0.2452736344,0.0041918957,5
0.0905333567,0.3246116502,0.2866194361,0.0044918644,6
0.1075804154,0.3829723405,0.3267459584,0.0213127369,7
0.1226903928,0.4418307494,0.3617832176,0.0133872232,8
0.1343735317,0.5011071027,0.3944330389,0.0149659921,9
0.1429558088,0.5607239725,0.426423369,0.0152817459,10
0.1501137104,0.6205677604,0.4582204634,0.0177568053,11
0.1563927654,0.680380796,0.4890373164,0.0182518172,12
0.1600628419,0.7404326026,0.5198995108,0.0149700672,13
0.1608757251,0.7972192204,0.5542630798,0.0207088446,14
0.1662743627,0.8436377522,0.5850892688,0.0092918389,15
0.1772507463,0.8827486711,0.6104155826,0.0164722315,16
0.1875700344,0.919825364,0.6261233537,0.0107114382,17
0.1898871621,0.9579354923,0.6253464028,0.0144733229,18
0.1918099525,0.995672428,0.6155150089,0.0151794951,19
0.1819866108,1.030810067,0.6010550087,0.0174038434,20
0.1885194247,1.064725259,0.5824816996,0.0049321143,21
0.1822775845,1.098785633,0.5604253479,0.0023190802,22
0.1879896392,1.133623425,0.5429405728,0.0019648156,23
0.182622242,1.16942701,0.5304075705,0.0018944373,24
0.1692439157,1.206200373,0.5253681096,0.0162369758,25
0.1621493196,1.243846633,0.5241215605,0.0187292015,26
0.1520929807,1.282432697,0.5256465129,0.0269397665,27
0.1460562659,1.321950268,0.5283047355,0.0285818795,28
0.1350411514,1.362359588,0.5266754958,0.0267883113,29
0.124897835,1.403505705,0.5205957395,0.0264295976,30
0.1148234072,1.4452259,0.5114005854,0.0133327504,31
0.1101322924,1.487423506,0.5001914322,0.0098946293,32
0.1041458362,1.530127772,0.4871983749,0.0084834911,33
0.1081195533,1.572226579,0.4755609244,0.0077354205,34
0.1150062289,1.614469636,0.4669620352,0.0114805075,35
0.1144768462,1.657121577,0.4594347225,0.012229525,36
0.1108544893,1.70020868,0.4546061993,0.0142449376,37
0.1068262265,1.743715312,0.4511813034,0.0155144482,38
0.1048562835,1.787718133,0.450165934,0.0157683504,39
0.1023756767,1.831798098,0.450499782,0.021879162,40
0.102096587,1.875331367,0.4530018357,0.0265737549,41
0.0997962135,1.917791841,0.4569616806,0.0152911631,42
0.0984649375,1.958890831,0.4628178347,0.0493013156,43
0.09799177,1.998680064,0.4703853852,0.0331171717,44
0.0976055457,2.037255998,0.4795896185,0.0135957815,45
0.0979244049,2.074269435,0.4900675392,0.0088348572,46
0.0983887895,2.107419819,0.501878246,0.0073366042,47
0.0987400202,2.135639656,0.5146439911,0.0160829097,48
0.0984496025,2.159258785,0.5285235566,0.0178321708,49
0.0981575129,2.17900596,0.5433571501,0.0140932131,50
0.0982634017,2.195492863,0.559612381,0.0134656873,51
0.0973870312,2.209044776,0.5769035826,0.0095913896,52
0.0967269121,2.219881366,0.5956128688,0.0128494284,53
0.0957061282,2.228212667,0.6155922706,0.0222113912,54
0.0950410245,2.23426719,0.6367430183,0.0323336815,55
0.0944570467,2.238357447,0.6591448013,0.0221049286,56
0.0926113801,2.240977521,0.6823068714,0.0200591781,57
0.090711536,2.242846258,0.7062085905,0.0289207321,58
0.0900145036,2.244530156,0.7305478112,0.0344941964,59
0.0887410297,2.246443018,0.7550867307,0.0373128086,60
0.0877871059,2.238022457,0.7796284453,0.0605903913,61
0.0843621661,2.227500548,0.8040604314,0.0894034431,62
0.0823596009,2.217224254,0.8283451203,0.0746535695,63
0.0803448783,2.20745199,0.8518666346,0.0211628735,64
0.0807941935,2.19842935,0.8755161226,0.0104093247,65
0.0830444016,2.189745978,0.8989147455,0.0025146723,66
0.084944637,2.175428017,0.9231174253,0.0008928934,67
0.0878008837,2.153474822,0.947783159,0.0006178558,68
0.0929894675,2.130268358,0.9729360581,0.0005481339,69
0.0976849163,2.106909918,0.9989458615,0.0003423639,70
0.1018915651,2.083588465,1.025818216,0.0003012151,71
0.1191125194,2.060335868,1.052276703,0.0001655808,72
0.1213698444,2.037236345,1.078613358,0.0001371756,73
0.1240389799,2.014461017,1.105600984,0.0001103703,74
0.1267207581,1.992336145,1.133342308,0.0001050093,75
0.1247158285,1.971214012,1.160495114,0.0001249857,76
0.1185977603,1.951483629,1.184347181,0.0001283422,77
0.1114626899,1.933321659,1.207593003,0.0001290697,78
0.1046120524,1.916793137,1.230670598,0.0001292152,79
0.1009463538,1.901945835,1.254083578,0.0001292438,80
0.0946977685,1.889261262,1.277815982,0.0001292493,81
0.0901151711,1.879010156,1.301696126,0.0001292504,82
0.0869891686,1.870742479,1.325785294,0.0001292507,83
0.0824341381,1.864211992,1.349937646,0.0001292507,84
0.0804246769,1.859216234,1.374119705,0.0001292507,85
0.0768609497,1.855489523,1.39830012,0.0001292507,86
0.0740970799,1.853295686,1.422137869,0.0001292507,87
0.0742682844,1.854197588,1.446315064,0.0001292507,88
0.0759544154,1.858101498,1.470464128,0.0001292507,89
0.0750009416,1.864657005,1.493713774,0.0001292507,90
0.0711263859,1.873667654,1.516684313,0.0001292507,91
0.0673334734,1.884414432,1.539779316,0.0001292507,92
0.0671806716,1.896279434,1.563577133,0.0001292507,93
0.0674684401,1.908953497,1.58828159,0.0001292507,94
0.071203532,1.922601277,1.614634614,0.0001292507,95
0.0851210903,1.937177424,1.642235294,0.0001292507,96
0.0975042285,1.952315795,1.664909519,0.0001292507,97
0.1037631883,1.967468432,1.686130393,0.0001292507,98
0.1167938516,1.982609685,1.70782637,0.0001292507,99
0.1167775182,1.997780093,1.730424539,0.0001292507,100
0.1212483851,2.012783501,1.736617261,,101
0.1377693904,2.027869101,1.737166329,,102
0.1607132391,2.043281038,1.75291691,,103
0.175695081,2.059209935,1.773391725,,104
0.1918356097,2.07585,1.76360023,,105
0.210707609,2.065923927,1.753799937,,106
0.1968679665,2.075308676,1.767530302,,107
0.174863988,2.07508371,1.787544604,,108
0.1536273536,2.086344543,1.776347037,,109
0.1363299181,2.102610936,1.760626899,,110
0.1224866486,2.12126501,1.773117106,,111
0.1091336064,,1.792868417,,112
0.105966578,,1.781597002,,113
0.1159883838,,1.763861494,,114
0.1361005737,,1.776097703,,115
0.1610359725,,1.795816023,,116
0.1909636629,,1.817750371,,117
0.1937953223,,1.841223865,,118
0.194013309,,1.865900822,,119
0.1872429217,,1.891512432,,120
0.1859097252,,1.917600921,,121
0.1929752707,,1.944868484,,122
0.2079627409,,1.973187652,,123
,,2.00263863,,124
,,2.032936474,,125
,,2.063452863,,126
,,2.088488744,,127
,,2.100472934,,128
,,2.102184237,,129
,,2.10103064,,130
,,2.102519433,,131
,,2.107414484,,132
,,2.11354493,,133
