step,joint_human_far,eef_human_far,joint_human_nearby,eef_human_nearby,joint_no_guide_human_far,eef_no_guide_human_far
1,0.0329534638,0.0140453712,0.0367037226,0.0049686834,0.0577333906,0.0216233686
2,0.0415496547,0.0180721336,0.0633469425,0.0100888877,0.1065503515,0.0402668375
3,0.0452719972,0.0258453189,0.0888932093,0.0182036648,0.1618636313,0.0623524262
4,0.0688075891,0.0369849545,0.0991568596,0.025261106,0.2290630459,0.0846435683
5,0.0698085574,0.0365846255,0.1280756417,0.0322303519,0.2898650696,0.1050238467
6,0.079616058,0.04798046,0.1143328329,0.0298952817,0.3472513085,0.1253622988
7,0.0862453937,0.0511167584,0.1298845087,0.0351165279,0.406093343,0.145378206
8,0.0958021407,0.0549553714,0.1242848876,0.0349461614,0.4640319047,0.1646250685
9,0.0941001235,0.0584335309,0.1313591472,0.036860059,0.5203010912,0.1828870612
10,0.0914064293,0.0571706027,0.1510693901,0.0489141081,0.5772684864,0.2007098395
11,0.0990726681,0.0576135149,0.1631942736,0.0627515387,0.634664568,0.218321438
12,0.096832055,0.0560851675,0.17830292,0.0742627698,0.6886689106,0.2361249776
13,0.1072698896,0.066217224,0.1741108276,0.0720655882,0.7417860058,0.2535369144
14,0.1231245137,0.0754959014,0.1860607015,0.0717177273,0.7949416934,0.2701983054
15,0.1440462769,0.0829534222,0.1864621567,0.0654230017,0.8476561668,0.2858090848
16,0.1507808477,0.0869155647,0.1903394136,0.0589113096,0.8978542463,0.3002465053
17,0.1502196168,0.0855289653,0.1974000476,0.0635276349,0.9474018021,0.3132812698
18,0.1591241901,0.0856517944,0.2003766668,0.0619176286,0.9943892897,0.3256261638
19,0.1631338571,0.083883086,0.2068698861,0.0462200316,1.0315475517,0.3362722821
20,0.1584687137,0.080412793,0.2247405621,0.0275171948,1.0528197239,0.3430573319
21,0.1603779302,0.0777859904,0.2470136412,0.0108636524,1.0625749193,0.3451558378
22,0.1659012326,0.0747960784,0.2685786816,0.0142401691,1.0663167879,0.3434470328
23,0.1622435896,0.0706840737,0.2836273212,0.0276764547,1.0672422441,0.3392943259
24,0.159506886,0.0663062693,0.3002379034,0.0423993301,1.0697251235,0.3340282509
25,0.1639481772,0.062369703,0.3062297087,0.0563827356,1.0756015709,0.3285730306
26,0.1625879109,0.057431814,0.3097459703,0.0687817137,1.0838714497,0.3234482124
27,0.1607879747,0.0524907846,0.3100773557,0.0798540862,1.0936798477,0.3187212156
28,0.1563125366,0.0465578867,0.3152037871,0.0915535175,1.1040558656,0.3141180464
29,0.1538461099,0.0405909958,0.3278356084,0.1055644798,1.1137083654,0.3092619884
30,0.1319417567,0.0277624178,0.3353049766,0.1197537101,1.1226903819,0.3040438042
31,0.1149916414,0.0208585149,0.3507914492,0.1348530773,1.132344468,0.2984839402
32,0.1104015178,0.0194253061,0.3713448353,0.1492274141,1.1418834279,0.2924551101
33,0.0997208161,0.0177532093,0.3929209388,0.1631797188,1.1504879428,0.2852062714
